reviewer,set_id,set_kind,variant,selected_ids,selected_characters,target_id,positive_target,rank,raw_match,adjusted_match,candidate_pool_percentile,top_pool_percent,top5_spread,core_xp_match,best_multi_character_branch_match,hidden_singleton_branch_match,branch_base_rank,multi_branch_rank,branch_final_rank,branch_rerank_bonus
aoko,aoko_set_03,cohesive,Experiment A,C019;C024;C025;C026,缘;Allan Melville;平重衡;YOFY,C022,光森壱哉,4,61.65013575605681,63.096513672723475,88.0,15.384615384615385,6.967858508297255,61.09,63.0,,4,4,4,0.0
aoko,aoko_set_03,cohesive,Experiment B,C019;C024;C025;C026,缘;Allan Melville;平重衡;YOFY,C022,光森壱哉,4,59.070536325131265,61.043804661784016,88.0,15.384615384615385,6.8295474325002345,61.09,63.0,,4,4,4,0.0
aoko,aoko_set_03,cohesive,Experiment C,C019;C024;C025;C026,缘;Allan Melville;平重衡;YOFY,C022,光森壱哉,4,61.58594042912549,63.045447376155515,88.0,15.384615384615385,6.258843924946696,61.09,63.0,,4,4,4,0.0
aoko,aoko_set_03,cohesive,Baseline,C019;C024;C022;C026,缘;Allan Melville;光森壱哉;YOFY,C025,平重衡,7,54.8363988095238,55.799023898809516,76.0,26.923076923076923,5.541068214285723,56.58,59.02,,7,8,7,0.0
aoko,aoko_set_03,cohesive,Experiment A,C019;C024;C022;C026,缘;Allan Melville;光森壱哉;YOFY,C025,平重衡,7,57.40139880952382,58.19583639880953,76.0,26.923076923076923,4.915026547619043,56.58,59.02,,7,8,7,0.0
aoko,aoko_set_03,cohesive,Experiment B,C019;C024;C022;C026,缘;Allan Melville;光森壱哉;YOFY,C025,平重衡,9,54.70617635053422,55.66572913600718,68.0,34.61538461538461,4.777158450235113,56.58,59.02,,7,8,7,0.0
aoko,aoko_set_03,cohesive,Experiment C,C019;C024;C022;C026,缘;Allan Melville;光森壱哉;YOFY,C025,平重衡,7,57.28547916836797,58.07615747775735,76.0,26.923076923076923,4.046183827159233,56.58,59.02,,7,8,7,0.0
aoko,aoko_set_03,cohesive,Baseline,C019;C024;C022;C025,缘;Allan Melville;光森壱哉;平重衡,C026,YOFY,10,53.155178571428564,54.38305316964285,64.0,38.46153846153846,8.856744439935056,55.17,57.69,,9,11,9,0.0
aoko,aoko_set_03,cohesive,Experiment A,C019;C024;C022;C025,缘;Allan Melville;光森壱哉;平重衡,C026,YOFY,9,55.110595238095236,56.17361358630952,68.0,34.61538461538461,8.653949430777551,55.17,57.69,,9,11,9,0.0
aoko,aoko_set_03,cohesive,Experiment B,C019;C024;C022;C025,缘;Allan Melville;光森壱哉;平重衡,C026,YOFY,12,52.499371475416176,53.707258344421696,56.0,46.15384615384615,8.67309225151348,55.17,57.69,,9,11,9,0.0
