set_id,kind,target_id,target_name,selected_ids,old_rank,new_rank,rank_change,classification,old_top1_score,old_top5_score,old_top5_spread,new_top1_score,new_top5_score,new_top5_spread,new_top5_ids,expanded_candidates_in_top5,expanded_candidates_above_positive,positive_rescue_bonus
aoko_set_04,mixed,C001,柳爱时,C005;C014;C026;C025,25,59,-34,WORSE,65.57808902400514,60.15551305597036,5.422575968034778,65.57808902400514,60.594253057741476,4.983835966263662,C028;C013;C049;C006;C019,1,34,3.3536618601546135
aoko_set_04,mixed,C014,Impey Barbicane,C005;C001;C026;C025,26,63,-37,WORSE,65.17353692549007,60.03958173908808,5.133955186401991,65.81142112567476,60.76484484219825,5.046576283476504,C049;C028;C029;C006;C013,1,37,2.8062831497313163
aoko_set_04,mixed,C026,YOFY,C005;C001;C014;C025,25,61,-36,WORSE,65.68723774926197,63.9280630544218,1.7591746948401692,65.68723774926197,64.42755663264043,1.259681116621536,C030;C017;C009;C037;C021,1,36,3.996173288549522
aoko_set_04,mixed,C025,平重衡,C005;C001;C014;C026,21,27,-6,WORSE,65.72107091692408,63.50977926217322,2.211291654750859,65.72107091692408,63.91814157673132,1.8029293401927546,C017;C030;C009;C037;C031,1,6,4.918159757305405
aoko_set_05,mixed,C001,柳爱时,C019;C015;C022;C021,23,46,-23,WORSE,69.29486724551113,62.62263703142601,6.672230214085118,69.29486724551113,63.043846156638054,6.251021088873074,C024;C028;C038;C029;C003,1,23,3.763519236600757
aoko_set_05,mixed,C019,缘,C001;C015;C022;C021,9,12,-3,WORSE,67.63026413401084,64.64945466856061,2.9808094654502355,67.63026413401084,66.45898907626102,1.171275057749824,C017;C010;C030;C037;C034,2,3,3.542142439293094
aoko_set_05,mixed,C015,Tyril I Lister,C001;C019;C022;C021,19,30,-11,WORSE,67.2298450299767,65.58154857888428,1.6482964510924205,67.2298450299767,65.95311564352085,1.2767293864558553,C024;C030;C017;C037;C010,1,11,0.0
aoko_set_05,mixed,C022,光森壱哉,C001;C019;C015;C021,21,47,-26,WORSE,67.76094142956589,65.33269498511905,2.4282464444468417,67.76094142956589,66.23256682223872,1.5283746073271658,C017;C037;C010;C030;C009,1,26,2.24177886223108
aoko_set_05,mixed,C021,Vilio,C001;C019;C015;C022,17,31,-14,WORSE,67.93884405494339,64.382410802572,3.5564332523713915,67.93884405494339,64.382410802572,3.5564332523713915,C024;C011;C028;C031;C003,0,14,1.2089240103861538
aoko_set_06,mixed,C005,杨,C014;C024;C025;C021,24,43,-19,WORSE,70.08524157756582,63.95078398293877,6.134457594627051,70.08524157756582,63.95078398293877,6.134457594627051,C030;C028;C009;C017;C004,0,19,4.540979132732491
aoko_set_06,mixed,C014,Impey Barbicane,C005;C024;C025;C021,25,43,-18,WORSE,66.24038031513996,60.51777339847653,5.72260691666343,67.16738078803573,60.644920743178574,6.522460044857155,C049;C019;C028;C006;C030,1,18,4.227738376501376
aoko_set_06,mixed,C024,Allan Melville,C005;C014;C025;C021,16,28,-12,WORSE,69.1770621634357,63.615199037585725,5.561863125849982,69.1770621634357,63.63283717976085,5.544224983674859,C030;C049;C028;C009;C004,1,12,0.38581909407739895
aoko_set_06,mixed,C025,平重衡,C005;C014;C024;C021,23,41,-18,WORSE,68.9459346370163,64.08910027367307,4.856834363343225,68.9459346370163,64.08910027367307,4.856834363343225,C030;C019;C004;C009;C017,0,18,3.0290534090032764
aoko_set_06,mixed,C021,Vilio,C005;C014;C024;C025,5,6,-1,WORSE,65.38182087555901,60.81281064892535,4.569010226633665,66.94345385340814,61.04618281907513,5.897271034333016,C049;C028;C019;C006;C030,1,1,4.546664477388546
